PLAYER,POS,POS_RANK,IS_TIED,CTRY,TO_PAR,MADE_CUT,CUT_MARGIN,ROUND_1_COURSE,ROUND_1_SCORE,ROUND_1_TO_PAR,ROUND_2_COURSE,ROUND_2_START,ROUND_2_SCORE,ROUND_2_TO_PAR,TOTAL_SCORE,COURSE_SEQUENCE,R1_HOLE_1,R1_HOLE_2,R1_HOLE_3,R1_HOLE_4,R1_HOLE_5,R1_HOLE_6,R1_HOLE_7,R1_HOLE_8,R1_HOLE_9,R1_HOLE_10,R1_HOLE_11,R1_HOLE_12,R1_HOLE_13,R1_HOLE_14,R1_HOLE_15,R1_HOLE_16,R1_HOLE_17,R1_HOLE_18,R1_OUT,R1_IN,R2_HOLE_1,R2_HOLE_2,R2_HOLE_3,R2_HOLE_4,R2_HOLE_5,R2_HOLE_6,R2_HOLE_7,R2_HOLE_8,R2_HOLE_9,R2_HOLE_10,R2_HOLE_11,R2_HOLE_12,R2_HOLE_13,R2_HOLE_14,R2_HOLE_15,R2_HOLE_16,R2_HOLE_17,R2_HOLE_18,R2_OUT,R2_IN,R1_EAGLES,R1_BIRDIES,R1_PARS,R1_BOGEYS,R1_DOUBLES_PLUS,R2_EAGLES,R2_BIRDIES,R2_PARS,R2_BOGEYS,R2_DOUBLES_PLUS,BEST_NINE_SCORE,BEST_NINE_LABEL,ROUND_DIFFERENTIAL,IMPROVED_R2,SCORING_AVERAGE,CONSISTENCY_SCORE,LAKE_SCORE,OCEAN_SCORE,COURSE_DIFFERENTIAL,R1_FRONT_VS_BACK,R2_FRONT_VS_BACK,STARTED_HOT,FINISHED_STRONG,MOMENTUM_SCORE,R1_RANK,R2_RANK,RANK_CHANGE,PERCENTILE,HAS_COMPLETE_HOLES,MISSING_HOLES_COUNT
Payne Denman,T48,48,True,United States of America,+3,True,16,Lake,71,1,Ocean,Back,72,2,143,Lake→Ocean,6,4,4,4,4,4,5,3,3,4,3,4,3,4,2,5,5,4,37,34,4,3,3,4,3,4,4,5,6,3,6,4,4,4,4,4,3,4,36,36,0.0,3.0,12.0,2.0,1.0,0.0,2.0,13.0,2.0,1.0,34,R1 Back,1,False,71.5,1,71,72,-1,3,0,False,False,-0.2,,48,,15.384615384615385,True,0
Marek Fleming,T48,48,True,United States of America,+3,True,16,Lake,75,5,Ocean,Back,68,-2,143,Lake→Ocean,5,4,4,5,5,3,4,4,4,4,5,4,3,4,3,5,5,4,38,37,5,3,5,4,2,5,4,4,4,3,4,4,3,4,4,4,3,3,36,32,0.0,1.0,11.0,6.0,0.0,0.0,5.0,10.0,3.0,0.0,32,R2 Back,-7,True,71.5,7,75,68,7,1,4,False,True,2.4,,48,,15.384615384615385,True,0
Caleb Bond,T48,48,True,United States of America,+3,True,16,Ocean,75,5,Lake,Back,68,-2,143,Ocean→Lake,4,3,4,5,4,5,4,4,4,3,5,5,5,4,4,4,3,5,37,38,4,3,4,4,4,4,4,2,4,4,4,4,3,4,3,4,4,5,33,35,0.0,0.0,13.0,5.0,0.0,0.0,4.0,12.0,2.0,0.0,33,R2 Front,-7,True,71.5,7,68,75,-7,-1,-2,True,False,2.4,,48,,15.384615384615385,True,0
Filip Jakubcik,T48,48,True,Czechia,+3,True,16,Ocean,74,4,Lake,Front,69,-1,143,Ocean→Lake,5,4,4,4,2,4,5,4,4,3,5,5,3,5,4,4,4,5,36,38,3,4,4,5,4,4,3,3,4,5,3,4,3,4,4,5,4,3,34,35,0.0,3.0,8.0,7.0,0.0,0.0,5.0,9.0,4.0,0.0,34,R2 Front,-5,True,71.5,5,69,74,-5,-2,-1,True,False,2.0,,48,,15.384615384615385,True,0
Mason Howell,T48,48,True,United States of America,+3,True,16,Lake,70,0,Ocean,Front,73,3,143,Lake→Ocean,5,4,3,4,5,4,4,4,4,4,4,4,3,4,2,4,5,3,37,33,5,3,4,5,3,5,4,4,3,3,5,4,5,5,4,4,3,4,36,37,0.0,3.0,12.0,3.0,0.0,0.0,1.0,13.0,4.0,0.0,33,R1 Back,3,False,71.5,3,70,73,-3,4,-1,False,False,-0.6,,48,,15.384615384615385,True,0
Joshua Bai,T48,48,True,New Zealand,+3,True,16,Lake,76,6,Ocean,Back,67,-3,143,Lake→Ocean,5,4,4,5,4,5,4,4,4,4,4,5,3,4,3,5,5,4,39,37,4,3,3,5,2,4,4,4,4,3,4,4,5,4,3,3,3,5,33,34,0.0,0.0,12.0,6.0,0.0,0.0,5.0,11.0,2.0,0.0,33,R2 Front,-9,True,71.5,9,76,67,9,2,-1,False,False,1.8,,48,,15.384615384615385,True,0
Pennson Badgett,T48,48,True,United States of America,+3,True,16,Ocean,71,1,Lake,Back,72,2,143,Ocean→Lake,4,3,4,5,3,3,4,3,4,3,5,4,4,4,5,5,3,5,33,38,4,5,4,4,3,6,3,4,5,4,4,5,3,4,3,4,4,3,38,34,0.0,2.0,13.0,3.0,0.0,0.0,5.0,7.0,5.0,1.0,33,R1 Front,1,False,71.5,1,72,71,1,-5,4,True,True,1.8,,48,,15.384615384615385,True,0
Jacob Modleski,T48,48,True,United States of America,+3,True,16,Ocean,71,1,Lake,Front,72,2,143,Ocean→Lake,4,3,3,4,3,3,5,5,3,4,5,4,4,5,5,4,3,4,33,38,4,4,3,4,4,4,3,4,5,5,4,4,4,4,3,5,4,4,35,37,0.0,4.0,9.0,5.0,0.0,0.0,2.0,12.0,4.0,0.0,33,R1 Front,1,False,71.5,1,72,71,1,-5,-2,True,False,0.8,,48,,15.384615384615385,True,0
Paul Chang,T48,48,True,People's Republic Of China,+3,True,16,Lake,77,7,Ocean,Back,66,-4,143,Lake→Ocean,5,5,3,4,5,4,4,4,4,5,5,5,3,3,3,5,5,5,38,39,5,3,3,4,3,4,4,3,3,3,5,4,4,4,4,3,3,4,32,34,0.0,1.0,9.0,8.0,0.0,0.0,5.0,12.0,1.0,0.0,32,R2 Front,-11,True,71.5,11,77,66,11,-1,-2,True,False,3.2,,48,,15.384615384615385,True,0
Bowen Mauss,T48,48,True,United States of America,+3,True,16,Lake,76,6,Ocean,Back,67,-3,143,Lake→Ocean,5,5,4,4,5,4,5,3,4,4,4,5,4,4,3,4,5,4,39,37,4,3,4,5,4,5,4,3,3,2,5,3,4,3,4,4,3,4,35,32,0.0,1.0,10.0,7.0,0.0,0.0,5.0,11.0,2.0,0.0,32,R2 Back,-9,True,71.5,9,76,67,9,2,3,False,True,2.8,,48,,15.384615384615385,True,0
Ryan Downes,T48,48,True,United States of America,+3,True,16,Lake,68,-2,Ocean,Front,75,5,143,Lake→Ocean,5,4,2,5,5,4,4,3,3,4,4,4,3,3,3,4,4,4,35,33,4,3,4,5,3,5,4,4,4,3,5,4,5,4,4,4,4,6,36,39,0.0,5.0,10.0,3.0,0.0,0.0,0.0,14.0,3.0,1.0,33,R1 Back,7,False,71.5,7,68,75,-7,2,-3,False,False,-1.4,,48,,15.384615384615385,True,0
Tim Wiedemeyer,T48,48,True,Germany,+3,True,16,Lake,70,0,Ocean,Back,73,3,143,Lake→Ocean,4,4,4,5,5,5,4,3,3,4,4,4,2,4,2,5,4,4,37,33,5,4,5,5,3,4,4,3,4,3,5,5,5,4,3,4,3,4,37,36,0.0,4.0,10.0,4.0,0.0,0.0,2.0,11.0,5.0,0.0,33,R1 Back,3,False,71.5,3,70,73,-3,4,1,False,True,0.4,,48,,15.384615384615385,True,0
Brady Siravo,T48,48,True,United States of America,+3,True,16,Ocean,71,1,Lake,Back,72,2,143,Ocean→Lake,5,4,4,5,3,4,3,3,4,3,4,5,4,3,4,5,3,5,35,36,5,4,5,3,4,4,4,3,4,5,4,4,3,4,2,6,4,4,36,36,0.0,4.0,9.0,5.0,0.0,0.0,3.0,11.0,3.0,1.0,35,R1 Front,1,False,71.5,1,72,71,1,-1,0,True,False,0.8,,48,,15.384615384615385,True,0
Niall Shiels Donegan,T48,48,True,Scotland,+3,True,16,Lake,73,3,Ocean,Back,70,0,143,Lake→Ocean,4,4,3,4,5,5,5,4,4,4,3,4,3,4,3,5,5,4,38,35,5,3,4,5,3,4,4,4,3,3,5,3,5,4,4,3,4,4,35,35,0.0,1.0,13.0,4.0,0.0,0.0,3.0,12.0,3.0,0.0,35,R1 Back,-3,True,71.5,3,73,70,3,3,0,False,False,0.6,,48,,15.384615384615385,True,0
Jimmy Abdo,T48,48,True,United States of America,+3,True,16,Lake,72,2,Ocean,Back,71,1,143,Lake→Ocean,5,4,4,4,4,5,2,3,4,5,4,4,3,3,3,5,6,4,35,37,5,4,4,4,2,4,4,4,3,5,5,5,5,3,4,3,3,4,34,37,1.0,1.0,11.0,5.0,0.0,0.0,5.0,8.0,4.0,1.0,34,R2 Front,-1,True,71.5,1,72,71,1,-2,-3,True,False,1.2,,48,,15.384615384615385,True,0
Travis Woolf,T48,48,True,United States of America,+3,True,16,Ocean,70,0,Lake,Front,73,3,143,Ocean→Lake,5,4,3,4,4,5,4,3,4,2,5,4,3,4,4,4,3,5,36,34,4,4,4,5,4,5,4,3,3,5,3,4,3,4,3,7,4,4,36,37,0.0,5.0,8.0,5.0,0.0,0.0,3.0,10.0,4.0,1.0,34,R1 Back,3,False,71.5,3,73,70,3,2,-1,False,False,-0.6,,48,,15.384615384615385,True,0
Jack Bigham,T48,48,True,England,+3,True,16,Ocean,69,-1,Lake,Front,74,4,143,Ocean→Lake,4,4,4,4,3,5,4,3,3,3,6,4,3,4,4,4,3,4,34,35,6,4,4,4,5,3,4,3,4,4,5,4,4,4,2,5,5,4,37,37,0.0,4.0,11.0,3.0,0.0,0.0,2.0,11.0,4.0,1.0,34,R1 Front,5,False,71.5,5,74,69,5,-1,0,True,False,0.0,,48,,15.384615384615385,True,0
Matthew Kress,T68,68,True,United States of America,+4,False,-4,Lake,74,4,Ocean,Front,70,0,144,Lake→Ocean,5,5,4,4,3,4,3,4,4,4,5,5,2,6,4,5,3,4,36,38,4,3,4,4,3,4,4,4,4,3,4,5,4,4,4,4,4,4,34,36,1.0,3.0,6.0,7.0,1.0,0.0,2.0,14.0,2.0,0.0,34,R2 Front,-4,True,72.0,4,74,70,4,-2,-2,True,False,1.8,,68,,21.794871794871796,True,0
Ryder Cowan,T68,68,True,United States of America,+4,False,-4,Ocean,70,0,Lake,Back,74,4,144,Ocean→Lake,3,3,4,4,3,4,4,4,4,3,5,5,4,4,4,5,3,4,33,37,5,4,3,3,5,4,4,3,4,5,6,4,3,3,3,6,5,4,35,39,0.0,2.0,14.0,2.0,0.0,0.0,2.0,11.0,4.0,1.0,33,R1 Front,4,False,72.0,4,74,70,4,-4,-4,True,False,0.19999999999999996,,68,,21.794871794871796,True,0
Shaun Cook,T68,68,True,United States of America,+4,False,-4,Lake,74,4,Ocean,Back,70,0,144,Lake→Ocean,5,4,3,4,4,4,4,3,5,5,4,4,3,4,2,5,6,5,36,38,4,3,4,4,2,4,4,4,5,3,4,4,4,4,6,4,3,4,34,36,0.0,1.0,12.0,5.0,0.0,0.0,3.0,13.0,1.0,1.0,34,R2 Front,-4,True,72.0,4,74,70,4,-2,-2,True,False,1.8,,68,,21.794871794871796,True,0
Michael Lugiano,T68,68,True,United States of America,+4,False,-4,Lake,71,1,Ocean,Back,73,3,144,Lake→Ocean,5,4,4,4,4,5,3,4,4,4,4,3,3,4,3,5,4,4,37,34,4,4,5,5,3,3,5,3,3,3,7,4,4,4,4,4,3,5,35,38,0.0,3.0,11.0,4.0,0.0,0.0,3.0,10.0,4.0,1.0,34,R1 Back,2,False,72.0,2,71,73,-2,3,-3,False,False,-0.4,,68,,21.794871794871796,True,0
Josiah Hakala,T68,68,True,United States of America,+4,False,-4,Lake,72,2,Ocean,Front,72,2,144,Lake→Ocean,5,5,3,4,5,4,3,2,4,4,4,3,3,4,3,5,6,5,35,37,5,4,4,5,3,5,4,4,4,4,4,4,4,3,4,4,3,4,38,34,0.0,3.0,10.0,5.0,0.0,0.0,2.0,12.0,4.0,0.0,34,R2 Back,0,False,72.0,0,72,72,0,-2,4,True,True,2.0,,68,,21.794871794871796,True,0
Parker Sands,T68,68,True,United States of America,+4,False,-4,Lake,74,4,Ocean,Front,70,0,144,Lake→Ocean,4,4,4,4,5,4,4,3,4,5,5,5,4,4,3,5,4,3,36,38,4,3,2,5,2,4,4,4,4,4,5,4,5,4,5,4,2,5,32,38,0.0,2.0,10.0,6.0,0.0,1.0,2.0,11.0,4.0,0.0,32,R2 Front,-4,True,72.0,4,74,70,4,-2,-6,True,False,1.8,,68,,21.794871794871796,True,0
Evan Beck,T68,68,True,United States of America,+4,False,-4,Ocean,71,1,Lake,Back,73,3,144,Ocean→Lake,4,4,4,5,2,5,3,4,4,3,5,4,4,5,3,5,3,4,35,36,6,4,3,4,6,5,4,5,4,4,3,3,3,4,3,4,3,5,41,32,0.0,3.0,11.0,4.0,0.0,1.0,3.0,9.0,2.0,3.0,32,R2 Back,2,False,72.0,2,73,71,2,-1,9,True,True,1.6,,68,,21.794871794871796,True,0
Tyler Loree,T68,68,True,United States of America,+4,False,-4,Ocean,73,3,Lake,Back,71,1,144,Ocean→Lake,5,3,4,4,2,4,6,4,4,3,5,4,4,5,4,4,3,5,36,37,5,3,4,4,5,5,4,3,3,5,4,4,3,4,3,5,4,3,36,35,0.0,2.0,12.0,3.0,1.0,0.0,4.0,9.0,5.0,0.0,35,R2 Back,-2,True,72.0,2,71,73,-2,-1,1,True,True,2.4,,68,,21.794871794871796,True,0
Wheaton Ennis,T68,68,True,United States of America,+4,False,-4,Lake,72,2,Ocean,Back,72,2,144,Lake→Ocean,5,3,3,4,5,5,4,4,3,4,4,4,4,4,3,5,4,4,36,36,4,4,4,5,2,4,4,4,4,2,5,6,4,5,4,4,3,4,35,37,0.0,3.0,10.0,5.0,0.0,0.0,2.0,13.0,2.0,1.0,35,R2 Front,0,False,72.0,0,72,72,0,0,-2,False,False,0.0,,68,,21.794871794871796,True,0
Zackary Swanwick,T68,68,True,New Zealand,+4,False,-4,Ocean,75,5,Lake,Front,69,-1,144,Ocean→Lake,4,5,5,4,3,4,4,4,4,3,5,4,4,5,5,4,3,5,37,38,4,3,4,4,4,4,4,3,3,4,4,4,3,4,4,5,4,4,33,36,0.0,1.0,12.0,4.0,1.0,0.0,3.0,13.0,2.0,0.0,33,R2 Front,-6,True,72.0,6,69,75,-6,-1,-3,True,False,2.2,,68,,21.794871794871796,True,0
Greyson Leach,T68,68,True,United States of America,+4,False,-4,Lake,73,3,Ocean,Front,71,1,144,Lake→Ocean,4,5,3,4,4,5,4,4,4,4,4,4,3,4,4,6,4,3,37,36,4,3,4,5,3,4,4,3,4,3,5,4,4,4,5,4,4,4,34,37,0.0,2.0,11.0,5.0,0.0,0.0,1.0,15.0,2.0,0.0,34,R2 Front,-2,True,72.0,2,73,71,2,1,-3,False,False,0.4,,68,,21.794871794871796,True,0
Adam Anderson,T68,68,True,United States of America,+4,False,-4,Ocean,75,5,Lake,Back,69,-1,144,Ocean→Lake,6,4,5,5,3,5,4,5,4,3,4,4,3,4,6,4,2,4,41,34,4,4,3,4,4,4,4,3,4,4,5,5,3,3,2,6,3,4,34,35,0.0,3.0,9.0,4.0,2.0,1.0,2.0,12.0,3.0,0.0,34,R1 Back,-6,True,72.0,6,69,75,-6,7,-1,False,False,1.2,,68,,21.794871794871796,True,0
Will Hartman,T68,68,True,United States of America,+4,False,-4,Lake,71,1,Ocean,Front,73,3,144,Lake→Ocean,4,4,3,4,5,4,5,4,3,4,4,4,2,5,2,4,4,6,36,35,5,3,3,7,3,4,4,4,4,3,5,4,6,4,4,2,4,4,37,36,0.0,5.0,8.0,4.0,1.0,1.0,1.0,12.0,2.0,2.0,35,R1 Back,2,False,72.0,2,71,73,-2,1,1,False,True,0.6,,68,,21.794871794871796,True,0
Carlos Astiazaran,T68,68,True,United States of America,+4,False,-4,Lake,73,3,Ocean,Front,71,1,144,Lake→Ocean,4,4,3,4,5,4,4,3,4,4,5,4,2,5,3,5,5,5,35,38,4,4,4,4,3,3,4,4,4,3,5,4,4,5,4,5,3,4,34,37,0.0,1.0,13.0,4.0,0.0,0.0,2.0,13.0,3.0,0.0,34,R2 Front,-2,True,72.0,2,73,71,2,-3,-3,True,False,1.4,,68,,21.794871794871796,True,0
Josiah Gilbert,T68,68,True,United States of America,+4,False,-4,Lake,72,2,Ocean,Back,72,2,144,Lake→Ocean,5,3,2,5,5,3,4,3,5,3,4,4,3,5,3,5,5,5,35,37,6,4,3,5,3,3,4,4,4,3,5,4,4,3,5,4,3,5,36,36,0.0,4.0,8.0,6.0,0.0,0.0,3.0,11.0,3.0,1.0,35,R1 Front,0,False,72.0,0,72,72,0,-2,0,True,False,1.0,,68,,21.794871794871796,True,0
Michael Riebe,T68,68,True,United States of America,+4,False,-4,Ocean,72,2,Lake,Front,72,2,144,Ocean→Lake,4,3,4,5,3,4,4,6,4,3,5,4,5,4,4,4,2,4,37,35,5,4,4,4,4,5,2,4,4,4,4,3,3,4,3,5,6,4,36,36,0.0,1.0,15.0,1.0,1.0,1.0,1.0,11.0,5.0,0.0,35,R1 Back,0,False,72.0,0,72,72,0,2,0,False,False,0.0,,68,,21.794871794871796,True,0
Matthew McClean,T68,68,True,Northern Ireland,+4,False,-4,Lake,74,4,Ocean,Back,70,0,144,Lake→Ocean,5,4,3,4,5,5,5,3,3,3,5,5,4,4,2,4,6,4,37,37,5,3,4,5,3,4,4,3,4,3,5,4,4,5,3,4,4,3,35,35,0.0,4.0,6.0,8.0,0.0,0.0,3.0,12.0,3.0,0.0,35,R2 Front,-4,True,72.0,4,74,70,4,0,0,False,False,0.8,,68,,21.794871794871796,True,0
Avinash Iyer,T68,68,True,United States of America,+4,False,-4,Ocean,71,1,Lake,Front,73,3,144,Ocean→Lake,5,3,4,5,3,6,3,4,4,4,5,4,4,3,4,4,2,4,37,34,4,4,4,5,5,4,3,4,4,4,5,3,3,4,3,6,4,4,37,36,0.0,3.0,12.0,2.0,1.0,0.0,3.0,9.0,6.0,0.0,34,R1 Back,2,False,72.0,2,73,71,2,3,1,False,True,0.6,,68,,21.794871794871796,True,0
Ryan Terry,T86,86,True,United States of America,+5,False,-22,Lake,73,3,Ocean,Front,72,2,145,Lake→Ocean,4,4,5,4,3,4,4,4,4,5,4,5,3,3,3,5,5,4,36,37,5,4,4,4,2,4,4,3,5,4,4,4,4,4,4,4,3,6,35,37,0.0,2.0,12.0,3.0,1.0,0.0,4.0,9.0,4.0,1.0,35,R2 Front,-1,True,72.5,1,73,72,1,-1,-2,True,False,1.2,,86,,27.564102564102566,True,0
Matt Vogt,T86,86,True,United States of America,+5,False,-22,Lake,70,0,Ocean,Back,75,5,145,Lake→Ocean,5,3,3,5,4,5,3,3,3,4,3,4,3,5,3,5,5,4,34,36,4,4,4,5,3,4,4,5,4,4,4,5,4,5,4,4,4,4,37,38,0.0,4.0,10.0,4.0,0.0,0.0,1.0,11.0,6.0,0.0,34,R1 Front,5,False,72.5,5,70,75,-5,-2,-1,True,False,0.0,,86,,27.564102564102566,True,0
Luke Potter,T86,86,True,United States of America,+5,False,-22,Ocean,72,2,Lake,Back,73,3,145,Ocean→Lake,4,3,5,5,2,6,4,3,3,3,5,4,4,4,5,5,3,4,35,37,5,5,3,4,4,4,5,4,4,4,5,4,3,4,3,4,4,4,38,35,0.0,3.0,11.0,3.0,1.0,0.0,2.0,11.0,5.0,0.0,35,R1 Front,1,False,72.5,1,73,72,1,-2,3,True,True,1.8,,86,,27.564102564102566,True,0
Adam Friedman,T86,86,True,United States of America,+5,False,-22,Ocean,71,1,Lake,Back,74,4,145,Ocean→Lake,4,3,4,5,3,4,4,4,5,4,4,4,4,4,4,4,3,4,36,35,4,4,3,5,6,4,3,4,5,4,4,3,3,4,3,6,5,4,38,36,0.0,1.0,15.0,2.0,0.0,0.0,2.0,11.0,4.0,1.0,35,R1 Back,3,False,72.5,3,74,71,3,1,2,False,True,0.4,,86,,27.564102564102566,True,0
Declan O'Donovan,T86,86,True,Australia,+5,False,-22,Lake,72,2,Ocean,Front,73,3,145,Lake→Ocean,4,5,3,4,6,4,4,4,3,5,3,4,3,4,3,4,6,3,37,35,4,3,5,5,3,3,4,5,4,3,5,4,5,4,4,4,3,5,36,37,0.0,4.0,9.0,4.0,1.0,0.0,1.0,13.0,4.0,0.0,35,R1 Back,1,False,72.5,1,72,73,-1,2,-1,False,False,-0.2,,86,,27.564102564102566,True,0
Trevor Gutschewski,T86,86,True,United States of America,+5,False,-22,Ocean,73,3,Lake,Front,72,2,145,Ocean→Lake,6,3,4,5,3,3,4,4,4,2,5,4,4,4,3,5,4,6,36,37,5,4,3,5,4,5,3,3,4,5,4,3,4,4,3,5,4,4,36,36,0.0,3.0,11.0,2.0,2.0,0.0,3.0,10.0,5.0,0.0,36,R1 Front,-1,True,72.5,1,72,73,-1,-1,0,True,False,1.2,,86,,27.564102564102566,True,0
Matthew Comegys,T86,86,True,United States of America,+5,False,-22,Lake,72,2,Ocean,Back,73,3,145,Lake→Ocean,5,5,4,4,4,4,4,3,4,4,4,4,3,4,3,4,5,4,37,35,5,4,5,5,3,4,3,4,5,3,5,4,3,5,4,4,3,4,38,35,0.0,1.0,14.0,3.0,0.0,0.0,2.0,11.0,5.0,0.0,35,R1 Back,1,False,72.5,1,72,73,-1,2,3,False,True,0.8,,86,,27.564102564102566,True,0
Robbie Ziegler,T86,86,True,United States of America,+5,False,-22,Ocean,75,5,Lake,Front,70,0,145,Ocean→Lake,4,4,4,5,3,4,4,4,4,3,7,5,4,4,5,4,3,4,36,39,4,4,4,4,4,4,3,2,5,4,4,4,3,4,3,5,5,4,34,36,0.0,0.0,14.0,3.0,1.0,0.0,2.0,14.0,2.0,0.0,34,R2 Front,-5,True,72.5,5,70,75,-5,-3,-2,True,False,2.0,,86,,27.564102564102566,True,0
Stewart Hagestad,T86,86,True,United States of America,+5,False,-22,Lake,72,2,Ocean,Back,73,3,145,Lake→Ocean,5,6,4,4,4,3,4,4,4,4,4,5,2,4,2,5,4,4,38,34,5,4,4,4,2,4,3,4,4,4,6,5,4,4,5,4,3,4,34,39,0.0,4.0,9.0,4.0,1.0,0.0,3.0,9.0,6.0,0.0,34,R1 Back,1,False,72.5,1,72,73,-1,4,-5,False,False,-0.2,,86,,27.564102564102566,True,0
Garrett Endicott,T95,95,True,United States of America,+6,False,-31,Ocean,74,4,Lake,Back,72,2,146,Ocean→Lake,4,4,3,5,2,4,6,4,4,3,5,4,4,4,5,4,4,5,36,38,4,4,3,6,4,5,4,3,4,5,4,3,2,4,3,6,4,4,37,35,0.0,2.0,11.0,4.0,1.0,0.0,3.0,11.0,3.0,1.0,35,R2 Back,-2,True,73.0,2,72,74,-2,-2,2,True,True,2.4,,95,,30.448717948717945,True,0
Garrett Rank,T95,95,True,Canada,+6,False,-31,Ocean,72,2,Lake,Back,74,4,146,Ocean→Lake,5,3,3,6,2,5,4,3,4,3,5,4,3,5,4,5,3,5,35,37,5,4,3,4,6,6,4,3,4,4,4,4,3,4,3,4,5,4,39,35,0.0,4.0,8.0,6.0,0.0,0.0,1.0,14.0,1.0,2.0,35,R1 Front,2,False,73.0,2,74,72,2,-2,4,True,True,1.6,,95,,30.448717948717945,True,0
William King,T95,95,True,United States of America,+6,False,-31,Ocean,71,1,Lake,Front,75,5,146,Ocean→Lake,4,3,4,5,3,5,4,4,3,3,5,5,4,5,4,3,3,4,35,36,4,5,3,4,4,4,3,4,4,5,5,4,3,6,3,5,5,4,35,40,0.0,2.0,13.0,3.0,0.0,0.0,1.0,12.0,4.0,1.0,35,R1 Front,4,False,73.0,4,75,71,4,-1,-5,True,False,0.19999999999999996,,95,,30.448717948717945,True,0
Coby Carruthers,T95,95,True,Australia,+6,False,-31,Ocean,72,2,Lake,Back,74,4,146,Ocean→Lake,4,3,4,5,4,4,3,3,4,4,5,6,4,4,4,5,3,3,34,38,6,5,5,4,4,4,4,3,4,4,4,4,2,4,3,5,5,4,39,35,0.0,3.0,11.0,3.0,1.0,0.0,1.0,14.0,1.0,2.0,34,R1 Front,2,False,73.0,2,74,72,2,-4,4,True,True,1.6,,95,,30.448717948717945,True,0
Justin Biwer,T95,95,True,United States of America,+6,False,-31,Ocean,74,4,Lake,Back,72,2,146,Ocean→Lake,5,3,4,4,3,6,3,4,4,4,5,5,4,3,5,5,3,4,36,38,4,4,4,4,5,4,4,3,4,2,5,4,3,3,3,6,5,5,36,36,0.0,3.0,9.0,5.0,1.0,1.0,1.0,11.0,5.0,0.0,36,R1 Front,-2,True,73.0,2,72,74,-2,-2,0,True,False,1.4,,95,,30.448717948717945,True,0
Hamilton Coleman,T95,95,True,United States of America,+6,False,-31,Ocean,73,3,Lake,Back,73,3,146,Ocean→Lake,4,4,5,5,3,3,4,4,4,3,4,4,4,4,4,5,3,6,36,37,5,4,3,4,4,5,4,3,5,4,4,5,3,3,4,5,4,4,37,36,0.0,2.0,12.0,3.0,1.0,0.0,2.0,11.0,5.0,0.0,36,R1 Front,0,False,73.0,0,73,73,0,-1,1,True,True,2.0,,95,,30.448717948717945,True,0
Matthew Robles,T95,95,True,United States of America,+6,False,-31,Ocean,74,4,Lake,Front,72,2,146,Ocean→Lake,4,4,6,6,4,3,4,4,3,3,5,5,5,4,5,4,2,3,38,36,4,5,3,4,5,4,3,3,5,4,4,3,4,4,3,5,6,3,36,36,0.0,4.0,7.0,6.0,1.0,0.0,3.0,10.0,5.0,0.0,36,R1 Back,-2,True,73.0,2,72,74,-2,2,0,False,False,0.4,,95,,30.448717948717945,True,0
Jacob Goode,T95,95,True,United States of America,+6,False,-31,Lake,73,3,Ocean,Back,73,3,146,Lake→Ocean,4,4,5,4,5,4,4,4,4,4,4,4,4,3,3,5,4,4,38,35,5,2,4,5,4,6,5,3,4,3,5,4,5,3,4,4,2,5,38,35,0.0,2.0,12.0,3.0,1.0,0.0,4.0,8.0,5.0,1.0,35,R1 Back,0,False,73.0,0,73,73,0,3,3,False,True,1.0,,95,,30.448717948717945,True,0
Kade McDonough,T95,95,True,United States of America,+6,False,-31,Lake,76,6,Ocean,Back,70,0,146,Lake→Ocean,5,4,2,5,5,5,4,4,4,3,4,5,4,4,3,5,5,5,38,38,4,4,3,4,3,4,4,4,4,4,5,4,4,4,3,5,3,4,34,36,0.0,2.0,8.0,8.0,0.0,0.0,3.0,12.0,3.0,0.0,34,R2 Front,-6,True,73.0,6,76,70,6,0,-2,False,False,1.2,,95,,30.448717948717945,True,0
